Session,WCPM,Acc,Comp,Exp,level
32714,33.0,0.8859999999999999,4.1,1.4,6
32922,41.0,0.936,1.8,1.4,6
35171,68.0,0.943,5.9,2.1,9
37230,44.0,0.677,2.3,1.7,7
38071,88.0,0.982,5.7,3.3,11
40760,89.0,0.934,4.8,2.5,11
40865,28.0,0.912,3.1,1.3,5
40887,56.0,0.948,4.2,2.0,8
40964,97.0,0.934,3.5,3.0,12
41091,79.0,0.983,5.9,2.4,10
41105,101.0,0.961,3.3,3.1,12
41120,76.0,0.936,4.9,2.6,10
41664,36.0,0.847,3.4,1.4,6
42279,63.0,0.924,3.9,2.2,9
42307,48.0,0.973,5.3,1.9,7
42972,33.0,0.759,3.5,1.5,6
44086,98.0,0.981,4.0,2.6,12
44169,66.0,0.909,5.3,2.4,9
44867,90.0,0.7190000000000001,2.6,2.1,8
45071,82.0,0.944,5.2,2.9,11
46117,81.0,0.7959999999999999,4.9,2.4,7
46836,84.0,0.792,3.2,2.4,8
46990,56.0,0.988,5.9,2.3,8
47002,91.0,0.996,4.2,3.2,11
47041,113.0,1.0,6.1,3.6,14
47043,108.0,0.945,2.7,3.4,13
47092,108.0,0.789,3.3,3.1,10
47152,155.0,1.0,6.5,4.0,18
47361,155.0,1.0,6.2,4.0,18
47363,124.0,1.0,3.6,3.9,15
47388,145.0,1.0,7.1,4.0,17
47421,180.0,1.0,6.0,4.0,20
47464,170.0,1.0,6.0,4.0,19
47502,154.0,1.0,6.4,4.0,18
47767,70.0,0.947,2.0,2.2,9
47824,171.0,1.0,5.8,4.0,19
47894,133.0,1.0,5.7,3.9,16
47912,52.0,0.943,4.8,1.8,8
48155,60.0,0.934,5.3,2.0,8
48268,40.0,0.685,2.8,1.5,6
48359,134.0,0.992,5.0,4.0,16
48410,102.0,0.992,7.7,2.9,13
48418,65.0,0.943,5.5,2.4,9
48539,45.0,0.99,6.2,1.7,7
48821,80.0,0.983,6.3,2.6,10
48927,99.0,0.98,6.4,2.9,12
48972,118.0,1.0,5.3,3.9,14
48978,95.0,0.919,5.5,3.3,12
49169,60.0,0.942,6.0,2.2,8
49197,126.0,1.0,6.0,3.9,15
49373,101.0,1.0,4.9,3.5,12
49541,33.0,0.83,4.1,1.4,6
49581,88.0,0.97,6.4,3.3,11
49599,72.0,0.972,6.6,2.7,10
49607,30.0,0.628,3.0,1.7,5
49661,96.0,0.958,6.3,3.4,12
49698,136.0,1.0,6.4,4.0,16
49703,107.0,1.0,6.8,3.4,13
49841,109.0,1.0,7.9,3.8,13
49998,151.0,1.0,6.9,4.0,17
50020,86.0,0.993,4.5,2.9,11
50030,121.0,1.0,5.5,3.8,14
50031,103.0,0.985,6.5,3.3,13
50061,90.0,0.981,7.0,2.8,11
50103,125.0,0.992,7.8,4.0,15
50118,168.0,1.0,6.0,4.0,19
50140,76.0,0.812,5.3,2.1,7
50193,161.0,1.0,7.4,4.0,18
50212,123.0,0.992,7.6,3.5,15
50232,152.0,1.0,4.9,4.0,18
50645,98.0,0.988,6.8,2.9,12
50666,75.0,0.95,4.0,2.8,10
50687,143.0,0.988,7.4,4.0,17
50918,143.0,0.979,6.7,4.0,17
50941,96.0,0.996,6.0,3.4,12
51042,84.0,0.982,7.0,3.4,11
51192,39.0,0.789,4.1,1.5,6
51264,64.0,0.996,5.9,2.5,9
51727,132.0,1.0,7.1,4.0,16
52113,92.0,1.0,5.1,2.8,12
52324,97.0,0.982,6.8,3.1,12
52490,102.0,0.996,6.6,3.3,13
52743,33.0,0.935,4.4,1.4,6
52746,43.0,0.866,2.9,1.5,7
52812,50.0,0.908,2.4,1.9,7
53212,72.0,0.993,4.5,2.6,10
53264,125.0,0.933,5.7,3.3,15
53536,109.0,0.991,6.7,2.8,13
23102,48.0,0.7929999999999999,3.2,1.8,7
24238,41.0,0.875,3.9,1.6,7
24249,42.0,0.922,3.5,1.6,7
24392,34.0,0.764,3.1,1.3,6
24416,38.0,0.7879999999999999,3.5,1.7,6
24474,32.0,0.649,3.2,1.4,6
24565,25.0,0.976,3.2,1.2,5
26290,116.0,0.982,7.9,3.2,14
26301,46.0,0.969,5.6,1.7,7
26312,36.0,0.725,5.1,1.4,6
26353,35.0,0.684,2.9,1.3,6
26590,93.0,1.0,7.3,2.7,12
26592,37.0,0.892,6.0,1.5,6
26686,45.0,0.883,3.9,1.8,7
26829,87.0,0.996,5.6,2.9,11
26860,83.0,0.92,6.9,2.6,11
26867,67.0,0.987,7.0,2.0,9
26878,82.0,0.996,3.0,2.5,11
27003,38.0,0.737,4.6,1.5,6
27069,53.0,0.899,6.0,2.1,8
27080,42.0,0.825,3.4,1.5,7
27150,85.0,0.988,8.0,2.3,11
27266,71.0,0.996,7.1,2.4,10
27376,95.0,0.973,6.6,3.3,12
27640,81.0,1.0,7.0,2.4,11
28763,118.0,0.953,5.5,2.8,14
29275,179.0,1.0,5.6,4.0,22
30080,28.0,0.7929999999999999,3.3,1.3,5
30794,62.0,0.923,4.4,1.9,9
33367,79.0,0.974,3.9,2.4,11
33488,26.0,0.8,3.3,1.3,5
33599,105.0,0.937,6.0,2.7,13
33600,49.0,0.752,3.5,1.5,8
33737,54.0,0.921,5.5,1.8,8
33787,44.0,0.926,3.8,1.6,7
33924,33.0,0.856,4.2,1.5,6
33926,46.0,0.964,5.1,1.5,7
34052,70.0,0.992,6.0,2.5,10
34053,64.0,0.983,6.5,2.2,9
34140,126.0,0.996,5.6,3.3,15
34299,77.0,0.969,6.4,2.3,10
34806,118.0,0.981,7.3,3.4,14
35118,80.0,0.992,8.0,3.3,11
35138,55.0,0.898,6.1,2.3,8
35522,107.0,0.935,7.0,2.7,13
35545,63.0,0.966,5.0,1.9,9
35547,65.0,0.967,6.1,2.0,9
35557,71.0,0.7020000000000001,4.9,2.0,7
35849,35.0,0.958,3.7,1.4,6
35882,111.0,1.0,6.2,3.4,14
35935,86.0,0.988,5.5,2.9,11
36026,44.0,0.8390000000000001,5.6,1.5,7
36061,107.0,0.932,6.6,2.8,13
36188,98.0,1.0,6.2,3.1,12
37655,109.0,0.996,8.0,3.4,14
38476,157.0,0.977,6.1,3.9,18
39344,139.0,1.0,6.9,3.8,17
39365,125.0,1.0,6.9,3.3,15
39861,131.0,1.0,7.3,4.0,16
39903,106.0,0.94,4.5,2.8,13
40655,59.0,0.984,6.6,2.2,9
41030,43.0,0.748,5.6,1.6,7
42348,108.0,0.951,6.5,3.1,13
42455,96.0,0.996,5.5,3.0,12
42515,80.0,0.969,4.8,2.8,11
42521,166.0,1.0,7.4,4.0,19
42598,154.0,1.0,6.7,4.0,18
42604,123.0,1.0,8.0,3.6,15
42614,95.0,0.996,6.5,2.9,12
43847,113.0,0.992,6.1,3.2,14
44744,96.0,0.867,6.7,2.4,9
45494,36.0,0.637,5.1,1.7,6
46353,134.0,0.915,5.7,3.6,16
46650,114.0,1.0,7.0,3.3,14
46803,89.0,0.96,4.8,2.8,12
46924,39.0,0.6940000000000001,2.9,1.5,7
47184,88.0,0.955,6.3,2.2,11
48143,55.0,0.926,5.2,1.7,8
48623,78.0,0.991,4.4,2.3,10
48709,147.0,0.98,6.6,4.0,17
48793,53.0,0.948,4.4,1.9,8
49665,121.0,0.926,3.4,2.9,15
49959,32.0,0.825,5.0,1.5,6
50227,110.0,0.973,7.0,3.3,14
51001,32.0,0.8109999999999999,5.4,1.3,6
51100,101.0,0.992,6.3,3.1,13
51106,72.0,0.984,5.5,2.4,10
51193,93.0,0.95,7.1,2.7,12
51257,59.0,0.907,6.3,1.8,9
51276,89.0,0.996,8.0,2.7,12
51614,62.0,0.974,4.5,2.0,9
52056,68.0,0.984,6.1,2.2,9
52079,41.0,0.718,4.5,1.5,7
52093,86.0,1.0,4.9,2.7,11
52105,104.0,0.974,5.8,2.4,13
52118,121.0,0.978,5.3,3.4,15
52256,162.0,1.0,5.5,4.0,19
53173,95.0,0.943,5.2,2.6,12
53224,55.0,0.977,5.6,1.9,8
53232,91.0,0.968,4.6,2.6,12
53241,65.0,0.968,5.4,2.1,9
53255,64.0,0.968,5.5,2.0,9
53748,91.0,0.975,7.3,2.7,12
16412,51.0,0.841,2.3,1.9,9
16585,44.0,0.7979999999999999,1.8,1.8,8
16836,41.0,0.731,2.2,2.1,8
17624,54.0,0.97,1.7,1.9,9
17630,44.0,0.903,3.1,2.1,8
17674,48.0,0.858,3.0,1.6,8
17786,49.0,0.942,2.7,2.0,8
20030,38.0,0.682,2.5,1.6,7
20221,50.0,0.847,4.1,1.7,9
20932,59.0,0.8370000000000001,3.8,2.2,9
22532,38.0,0.861,4.9,1.5,7
22681,48.0,0.937,4.4,2.0,8
23115,57.0,0.873,3.2,1.9,9
23134,52.0,0.933,5.5,2.1,9
24750,119.0,0.966,6.0,3.6,15
25844,89.0,1.0,5.0,2.7,12
25859,39.0,0.82,2.2,1.4,7
26748,81.0,0.973,6.5,2.5,12
27042,124.0,0.992,7.2,3.5,16
27407,113.0,1.0,6.4,3.5,15
27415,100.0,0.975,3.3,2.6,14
27416,73.0,0.8190000000000001,4.7,3.0,11
27543,101.0,0.985,6.1,3.1,14
27615,132.0,1.0,7.1,3.9,17
27676,122.0,0.983,5.9,3.8,16
27824,53.0,0.969,4.4,1.7,9
27837,127.0,1.0,5.7,3.7,16
27940,57.0,0.887,6.2,1.8,9
28051,50.0,0.83,5.2,1.8,9
30059,85.0,0.892,6.5,2.7,9
30215,106.0,0.981,3.7,3.4,14
30907,100.0,0.991,5.3,3.4,14
31059,100.0,0.982,6.6,3.2,14
31298,94.0,0.996,6.7,3.0,13
31380,81.0,0.8440000000000001,2.6,2.3,9
32973,57.0,0.952,2.9,2.1,9
33056,69.0,0.99,6.4,2.7,10
33253,76.0,0.8859999999999999,4.5,2.1,11
33945,56.0,0.6679999999999999,4.1,1.7,9
