Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous
744738,84.0,0.792,3.2,2.4,8,116.6,2.9,3.2,0,0,0,0,1
746491,56.0,0.988,5.9,2.3,8,56.2,7.5,2.2,0,0,0,1,0
746491,56.0,0.988,5.9,2.3,8,56.2,7.5,2.2,0,0,0,1,0
746491,56.0,0.988,5.9,2.3,8,56.2,7.5,2.2,0,0,0,1,0
746491,56.0,0.988,5.9,2.3,8,56.2,7.5,2.2,0,0,0,1,0
746495,56.0,0.988,5.9,2.3,8,53.3,4.8,2.0,0,0,0,0,1
746495,56.0,0.988,5.9,2.3,8,53.3,4.8,2.0,0,0,0,0,1
746495,56.0,0.988,5.9,2.3,8,53.3,4.8,2.0,0,0,0,0,1
746499,56.0,0.988,5.9,2.3,8,79.4,5.5,2.4,0,0,0,0,1
746499,56.0,0.988,5.9,2.3,8,79.4,5.5,2.4,0,0,0,0,1
746499,56.0,0.988,5.9,2.3,8,79.4,5.5,2.4,0,0,0,0,1
