item,token,not_sightword,not_decodable,not_decodable_at_grade_level
420,between,1,,
420,the,,,
420,earth,1,1,
420,and,,,
420,sun,,,
420,blocking,1,,
420,most,,,
420,of,,,
420,the,,,
420,sunlight,1,,
420,for,,,
420,about,,,
420,eight,1,,
420,minutes,1,1,
420,only,,1,
420,a,,,
420,small,,,
420,part,,,
420,of,,,
420,the,,,
420,earth,1,1,
420,will,,,
420,see,,,
420,this,,,
420,solar,1,,
420,eclipse,1,,
420,long,,,
420,ago,,,
420,people,,1,
420,were,,1,
420,afraid,1,,
420,of,,,
420,eclipses,1,,
420,they,,,
420,thought,,,1
420,the,,,
420,world,1,,1
420,was,,1,
420,ending,,,
420,now,,,
420,we,,,
420,know,,,1
420,the,,,
420,moon,1,,
420,will,,,
420,continue,1,,
420,on,,,
420,its,,,
420,path,1,,
420,and,,,
420,sunlight,1,,
420,will,,,
420,return,1,,
420,shortly,1,,
2403,it,,,
2403,hadn't,,,
2403,rained,,,
2403,lately,1,,
2403,alex,1,,
2403,went,,,
2403,out,,,
2403,to,,,
2403,water,,,1
2403,the,,,
2403,plants,1,,
2403,in,,,
2403,the,,,
2403,garden,1,,
2403,he,,,
2403,saw,,,
2403,white,,,
2403,flakes,1,,
2403,floating,1,,
2403,around,,,
2403,the,,,
2403,plants,1,,
2403,could,,1,
2403,they,,,
2403,be,,,
2403,snowflakes,1,,
2403,not,,,
2403,in,,,
2403,the,,,
2403,summer,1,,
2403,they,,,
2403,couldn't,,1,
2403,they,,,
2403,reminded,1,,
2403,him,,,
2403,of,,,
2403,flower,,,
2403,petals,1,,
2403,but,,,
2403,they,,,
2403,were,,1,
2403,actually,1,,1
2403,little,,,
2403,white,,,
2403,butterflies,1,,1
2403,they,,,
2403,flew,1,,
2403,around,,,
2403,the,,,
2403,garden,1,,
2403,landing,1,,
2403,gently,1,,1
2403,on,,,
2403,leaves,1,,
2403,instead,1,,
2403,of,,,
2403,eating,,,
2403,the,,,
2403,plants,1,,
2403,they,,,
2403,left,1,,
2403,tiny,1,,
2403,green,,,
2403,eggs,1,,
2403,on,,,
2403,the,,,
2403,leaves,1,,
2403,that,,,
2403,way,,,
2403,when,,,
2403,the,,,
2403,eggs,1,,
2403,hatched,1,,
2403,the,,,
2403,baby,1,,
2403,caterpillars,1,,
2403,would,,1,
2403,have,,,
2403,food,,,
2701,lily's,1,,
2701,grandparents,1,,
2701,are,,,
2701,quite,1,,
2701,old,,,
2701,at,,,
2701,family,,,
2701,events,1,,
2701,the,,,
2701,old,,,
2701,folks,1,1,
2701,just,,,
2701,sit,,,
2701,around,,,
2701,and,,,
2701,talk,,,
2701,lily's,1,,
